update_Id,video_id,views,release_date,likes,comments,videos,subscribers,views_total,price,dates_passed
UCkH3CcMfqww9RsZvPRPkAJA,bgCjtExCUGU,135232,2024-08-20T08:00:19Z,6017,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,ijrMlmi8YQo,169071,2024-08-20T08:00:22Z,7105,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,2EaPDCRWmOk,105842,2024-08-19T08:00:00Z,2087,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,NcJeLpoSffc,59515,2024-08-16T08:00:25Z,1412,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,FSAD0p-D00E,0,2024-08-14T05:19:08Z,52,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,rILjJnr0Dac,47029,2024-04-12T06:00:30Z,1418,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,DngvQtfM5UY,519960,2023-06-21T14:44:31Z,5720,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,e2asqS2M-AY,195067,2023-06-21T14:44:24Z,1747,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,Y4Cmh97-7uY,897248,2023-06-06T13:00:24Z,15709,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,KAU2JFzFE-0,2229405,2023-05-16T13:00:19Z,53257,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,enw7JOKcn14,519529,2023-04-26T03:00:14Z,14013,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,FIesT5Hczkw,314064,2023-04-21T07:00:05Z,4598,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,xXtPO2X1pXQ,958158,2023-04-21T06:00:21Z,24392,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,M3uyCv3NwC0,133277,2023-04-20T11:32:43Z,872,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,XRosWvvDs98,156195,2023-04-20T11:32:43Z,3179,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,mJOn76M2lpU,347880,2023-04-20T11:32:43Z,7362,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,dpa_Fqvj6TY,253731,2023-04-20T11:32:43Z,5608,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,qe7imy8dx8Q,801563,2023-04-20T11:00:16Z,9973,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,e0s70WTY9Uw,395541,2023-04-19T01:00:20Z,8035,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,oQxiFlHjs2Q,222012,2023-03-22T13:00:38Z,3039,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,DnYq-wt-DPo,112890,2023-03-16T07:00:10Z,1818,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,YYflaSW8di4,1266149,2023-03-15T03:00:11Z,35818,,3214,3020000,1676066003,35479,2727
UCkH3CcMfqww9RsZvPRPkAJA,1b9jgXzzG_I,1027947,2023-03-02T14:00:01Z,15516,,3214,3020000,1676066003,35479,2727
